code,obfuscatedCode,originalOutput,obfuscatedOutput,similarity,stringSimilarity
"let weather = ""sunny""; if (weather === ""sunny"") { console.log(""It's a bright day!""); } else { console.log(""It might rain today.""); };","let weather = ""sunny"";if(weather === ""sunny""){console.log(""It's a bright day!"");var x = 1;x++;} else {console.log(""It might rain today."");x--;};","It's a bright day!
","It's a bright day!
",0.9714,0.8472
"let age = 21; if (age >= 18) { console.log(""You are an adult.""); } else { console.log(""You are a minor.""); };",let age=21;let foo='bar';if(age>=18){console.log('You are an adult.');}else{console.log('You are a minor.');};,"You are an adult.
","You are an adult.
",0.9774,0.7364
"let temperature = 30; if (temperature > 25) { console.log(""It's hot outside!""); } else if (temperature < 15) { console.log(""It's cold outside!""); } else { console.log(""The weather is nice today.""); };","let temperature=30;let _0xabc123=123;if(temperature>25){console.log(""It's hot outside!"");_0xabc123++;}else if(temperature<15){console.log(""It's cold outside!"");_0xabc123--;}else{console.log(""The weather is nice today."");};","It's hot outside!
","It's hot outside!
",0.9423,0.7387
"let score = 85; if (score > 90) { console.log(""Excellent!""); } else if (score > 70) { console.log(""Good job!""); } else { console.log(""Try harder next time.""); };",let score=85;let _0xabc123=5;if(score>90){console.log('Excellent!');_0xabc123++;}else if(score>70){console.log('Good job!');_0xabc123--;}else{console.log('Try harder next time.');_0xabc123*=2;};,"Good job!
","Good job!
",0.9347,0.6186
"let time = 20; if (time < 12) { console.log(""Good morning!""); } else if (time < 18) { console.log(""Good afternoon!""); } else { console.log(""Good evening!""); };","let time=20;let date=new Date();let month=['January','February','March','April','May','June','July','August','September','October','November','December'];if(month[date.getMonth()]===''){console.log('This will never execute');};if(time<12){console.log('Good morning!');}else if(time<18){console.log('Good afternoon!');}else{console.log('Good evening!');}","Good evening!
","Good evening!
",0.9171,0.3314
"let user = ""admin""; if (user === ""admin"") { console.log(""Access granted.""); } else { console.log(""Access denied.""); };","let user=""admin"";let x=10;x++;if(user===""admin""){console.log(""Access granted."");}else{console.log(""Access denied."");};","Access granted.
","Access granted.
",0.9731,0.7966
"let trafficLight = ""green""; if (trafficLight === ""red"") { console.log(""Stop""); } else if (trafficLight === ""yellow"") { console.log(""Caution""); } else { console.log(""Go""); };","let trafficLight = ""green""; if (trafficLight === ""red"") { console.log(""Stop""); } else if (trafficLight === ""yellow"") { console.log(""Caution""); } else { console.log(""Go""); }; function dummyFunction(){let a=1;let b=2;let c=a+b;};dummyFunction();","Go
","Go
",0.9471,0.7119
"let number = 15; if (number % 2 === 0) { console.log(""Even""); } else { console.log(""Odd""); };",let number = 15; let foo = 'bar'; if (number % 2 === 0) { console.log('Even'); } else { console.log('Odd'); };,"Odd
","Odd
",0.9842,0.8091
"let grade = 88; if (grade >= 90) { console.log(""A""); } else if (grade >= 80) { console.log(""B""); } else if (grade >= 70) { console.log(""C""); } else { console.log(""F""); };",let grade = 88; if (grade >= 90) { console.log('A'); } else if (grade >= 80) { console.log('B');  if (Math.random() > 1) {  console.log('Never happens!'); } } else if (grade >= 70) { console.log('C');  if (Math.random() < -1) {  console.log('Never happens!'); } } else { console.log('F'); };,"B
","B
",0.9569,0.5567
"let fruit = ""apple""; if (fruit === ""banana"") { console.log(""Bananas are yellow.""); } else if (fruit === ""apple"") { console.log(""Apples are delicious.""); } else { console.log(""Fruit is healthy.""); };","let fruit = ""apple"";if(fruit === ""banana""){console.log(""Bananas are yellow."");}else if(fruit === ""apple""){if(1==2){console.log('This will never happen');};console.log(""Apples are delicious."");}else{console.log(""Fruit is healthy."");};","Apples are delicious.
","Apples are delicious.
",0.9784,0.7425
