code,output,obfuscate code,obfuscate output,obfuscation type
"const radius = 5;
const area = Math.PI * radius * radius;
console.log(`Area of circle: ${area}`);",,"""const radius=5;const area=Math.PI*radius*radius;console.log(`Area of circle: ${area}`);const foo='bar';const bar='foo';console.log(foo+bar);""
",,Dead Code Obfuscation
"const kilometers = 10;
const miles = kilometers * 0.621371;
console.log(`10 kilometers is ${miles} miles`);",,"""const kilometers=10;const foo='bar';const miles=kilometers*0.621371;const baz='qux';console.log(`10 kilometers is ${miles} miles`);""
",,Dead Code Obfuscation
"const string1 = ""Hello"";
const string2 = ""World"";
const concatenated = string1 + "" "" + string2;
console.log(concatenated);",,"""const string1=\""Hello\"";const string2=\""World\"";const concatenated=string1+\"" \""+string2;const unused=2*3;console.log(concatenated);""
",,Dead Code Obfuscation
"const str = ""JavaScript"";
const length = str.length;
console.log(`Length: ${length}`);",,"""const str=\""JavaScript\"";const length=str.length;function dummy(){let a=1;a++;a=a*2;return a;}console.log(`Length: ${length}`);""
",,Dead Code Obfuscation
"const str = ""hello world"";
const upperStr = str.toUpperCase();
console.log(upperStr);",,"""const str=\""hello world\"";const upperStr=str.toUpperCase();console.log(upperStr);const foo=1;const bar=foo+2;const baz=bar*foo;console.log(baz);""
",,Dead Code Obfuscation
"const number = 16;
const sqrt = Math.sqrt(number);
console.log(`Square root: ${sqrt}`);",,"""const number=16;const sqrt=Math.sqrt(number);console.log(`Square root: ${sqrt}`);const _0xabc123 = 10; const _0xdef456 = 20; const _0xghi789 = _0xabc123 + _0xdef456;  if (_0xghi789 > 30) { console.log('This is dead code'); } else {  console.log('This is also dead code'); }""
",,Dead Code Obfuscation
"const person = { name: ""Alice"", age: 30 };
console.log(`Name: ${person.name}, Age: ${person.age}`);",,"""const person={name:\""Alice\"",age:30};function foo(){let x=10;x++;x*=2;}foo();console.log(`Name: ${person.name}, Age: ${person.age}`);foo();""
",,Dead Code Obfuscation
"const now = new Date();
console.log(`Current date and time: ${now}`);",,"""const now=new Date();Date.prototype.xyz=function(){return 'dummy'};console.log(`Current date and time: ${now}`);""
",,Dead Code Obfuscation
"const a = 5, b = 10, c = 8;
const max = Math.max(a, b, c);
console.log(`Maximum: ${max}`);",,"""const _0x5a43=['log'];(function(_0x25a722,_0x2e8b64){const _0x3d593d=function(_0x4e5f40){while(--_0x4e5f40){_0x25a722['push'](_0x25a722['shift']());}};_0x3d593d(++_0x2e8b64);}(_0x5a43,0x16c));const _0x365e=function(_0x3968c7,_0x100f18){_0x3968c7=_0x3968c7-0x0;let _0x410851=_0x5a43[_0x3968c7];return _0x410851;};const a=0x5,b=0xa,c=0x8;const max=Math['max'](a,b,c);const _0x569388=0x12;console[_0x365e('0x0')](`Maximum: ${max}`);""
",,Dead Code Obfuscation
"const kilometers = 10;
const miles = kilometers * 0.621371;
console.log(`10 kilometers is ${miles} miles`);",,"""const kilometers=10;const a=10;const b=20;a+b;const miles=kilometers*0.621371;console.log(`10 kilometers is ${miles} miles`);""
",,Dead Code Obfuscation
