Code,Output,Obfuscate
"const celsius = 25;
const fahrenheit = celsius * 9/10 + 32;
console.log(`${celsius}°C is ${fahrenheit}°F`);",25Â°C is 54.5Â°F,
"const radius = 5;
const area = Math.PI * radius * radius;
console.log(`Area of circle: ${area}`);",Area of circle: 78.53981633974483,
"const kilometers = 10;
const miles = kilometers * 0.621371;
console.log(`10 kilometers is ${miles} miles`);",10 kilometers is 6.21371 miles,
"const string1 = ""Hello"";
const string2 = ""World"";
const concatenated = string1 + "" "" + string2;
console.log(concatenated);",Hello World,
"const str = ""JavaScript"";
const length = str.length;
console.log(`Length: ${length}`);",Length: 10,
"const str = ""hello world"";
const upperStr = str.toUpperCase();
console.log(upperStr);",HELLO WORLD,
"const number = 16;
const sqrt = Math.sqrt(number);
console.log(`Square root: ${sqrt}`);",Square root: 4,
"const person = { name: ""Alice"", age: 30 };
console.log(`Name: ${person.name}, Age: ${person.age}`);","Name: Alice, Age: 30",
"const now = new Date();
console.log(`Current date and time: ${now}`);",Current date and time: Wed Jun 05 2024 10:29:56 GMT-0600 (Mountain Daylight Time),
"const a = 5, b = 10, c = 8;
const max = Math.max(a, b, c);
console.log(`Maximum: ${max}`);",Maximum: 10,
"const kilometers = 10;
const miles = kilometers * 0.621371;
console.log(`10 kilometers is ${miles} miles`);",10 kilometers is 6.21371 miles,
"const a = 3, b = 4;
const hypotenuse = Math.sqrt(a*a + b*b);
console.log(`Hypotenuse: ${hypotenuse}`);",Hypotenuse: 5,
"const number = 3.141592653589793;
const fixedNumber = number.toFixed(2);
console.log(`Fixed number: ${fixedNumber}`);",Fixed number: 3.14,
"const str = ""JavaScript"";
const firstChar = str.charAt(0);
console.log(`First character: ${firstChar}`);",First character: J,
"const fahrenheit = 77;
const celsius = (fahrenheit - 32) * 5/9;
console.log(`${fahrenheit}°F is ${celsius}°C`);",77Â°F is 25Â°C,
"const length = 10;
const width = 5;
const perimeter = 2 * (length + width);
console.log(`Perimeter of rectangle: ${perimeter}`);",Perimeter of rectangle: 30,
"const numbers = [10, 20, 30, 40, 50];
console.log(`Array of numbers: ${numbers}`);","Array of numbers: 10,20,30,40,50",
"const str = ""Hello, JavaScript!"";
const contains = str.includes(""JavaScript"");
console.log(`Contains 'JavaScript': ${contains}`);",Contains 'JavaScript': true,
"const str = ""HELLO WORLD"";
const lowerStr = str.toLowerCase();
console.log(lowerStr);",hello world,
"const num = 7.5;
const rounded = Math.round(num);
console.log(`Rounded number: ${rounded}`);",Rounded number: 8,
"const fruits = [""Apple"", ""Banana"", ""Cherry""];
console.log(fruits);","[ 'Apple', 'Banana', 'Cherry' ]",
"const arr = [1, 2, 3, 4, 5];
const length = arr.length;
console.log(`Array length: ${length}`);",Array length: 5,
"const now = new Date();
const year = now.getFullYear();
console.log(`Current year: ${year}`);",Current year: 2024,
"const x = 15, y = 10, z = 20;
const min = Math.min(x, y, z);
console.log(`Minimum: ${min}`);",Minimum: 10,
"const myBirthday = new Date('2000-01-01');
console.log(`My birthday: ${myBirthday}`);",My birthday: Fri Dec 31 1999 17:00:00 GMT-0700 (Mountain Standard Time),
"const base = 2;
const exponent = 3;
const result = Math.pow(base, exponent);
console.log(`${base}^${exponent} = ${result}`);",2^3 = 8,
"const str = ""123"";
const int = parseInt(str, 10);
console.log(`Parsed integer: ${int}`);",Parsed integer: 123,
"const str = ""JavaScript"";
const lastChar = str.charAt(str.length - 1);
console.log(`Last character: ${lastChar}`);",Last character: t,
"const str = ""I love JavaScript"";
const newStr = str.replace(""love"", ""like"");
console.log(newStr);",I like JavaScript,
"const num = 123;
const str = num.toString();
console.log(`Converted to string: ${str}`);",Converted to string: 123,
"const radius = 3;
const volume = (4/3) * Math.PI * Math.pow(radius, 3);
console.log(`Volume of sphere: ${volume}`);",Volume of sphere: 113.09733552923254,
"const number = -5;
const isPositive = number > 0;
console.log(`${number} is positive: ${isPositive}`);",-5 is positive: false,
"const str = ""Hello World"";
const arr = str.split("" "");
console.log(arr);","[ 'Hello', 'World' ]",
"const arr = [""JavaScript"", ""is"", ""fun""];
const str = arr.join("" "");
console.log(str);",JavaScript is fun,
"const days = [""Sunday"", ""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday"", ""Friday"", ""Saturday""];
const currentDay = days[2]; // Assuming today is Tuesday
console.log(`Today is: ${currentDay}`);",Today is: Tuesday,
"const num = -42;
const absValue = Math.abs(num);
console.log(`Absolute value: ${absValue}`);",Absolute value: 42,
"const str = ""JavaScript"";
const startsWithJ = str.startsWith(""J"");
console.log(`Starts with 'J': ${startsWithJ}`);",Starts with 'J': true,
"const car = {
    make: ""Toyota"",
    model: ""Corolla"",
    getCarInfo: function() {
        return `${this.make} ${this.model}`;
    }
};
console.log(car.getCarInfo());",Toyota Corolla,
"const num = 10;
const log = Math.log(num);
console.log(`Natural logarithm: ${log}`);",Natural logarithm: 2.302585092994046,
"const arr = [1, 2, 3, 4, 5];
const includesThree = arr.includes(3);
console.log(`Array includes 3: ${includesThree}`);",Array includes 3: true,
"const specificDate = new Date('2024-01-01');
console.log(`Specific date: ${specificDate}`);",Specific date: Sun Dec 31 2023 17:00:00 GMT-0700 (Mountain Standard Time),
"const str = ""3.14"";
const float = parseFloat(str);
console.log(`Parsed float: ${float}`);",Parsed float: 3.14,
"const str = ""JavaScript"";
const index = str.indexOf(""S"");
console.log(`Index of 'S': ${index}`);",Index of 'S': 4,
"const str = ""Banana Banana Banana"";
const newStr = str.split(""Banana"").join(""Apple"");
console.log(newStr);",Apple Apple Apple,
"const radius = 4;
const circumference = 2 * Math.PI * radius;
console.log(`Circumference of circle: ${circumference}`);",Circumference of circle: 25.132741228718345,
"const str = ""123"";
const paddedStr = str.padStart(5, '0');
console.log(`Padded string: ${paddedStr}`);",Padded string: 00123,
"const r = 255, g = 99, b = 71;
const hex = `#${((1 << 24) + (r << 16) + (g << 8) + b).toString(16).slice(1)}`;
console.log(`Hex color: ${hex}`);",Hex color: #ff6347,
"function factorial(n) {
    return n === 0 ? 1 : n * factorial(n - 1);
}
const num = 5;
console.log(`Factorial of ${num}: ${factorial(num)}`);",Factorial of 5: 120,
"const year = 2024;
const isLeapYear = year % 4 === 0 && (year % 100 !== 0 || year % 400 === 0);
console.log(`${year} is a leap year: ${isLeapYear}`);",2024 is a leap year: true,
"console.log('Carlos'.substring(3, 7))",los,
'let x=';console.log(x);,"Error: Command '['node', '-e', ""'let x=';console.log(x);""]' returned non-zero exit status 1.",
"let nums = [1, 2, 3, 4, 5];
console.log(nums[Math.floor(Math.random() * nums.length)]);",4,
"let adjective = ""cool""; let noun = ""dude""; console.log(`The ${adjective} ${noun} walked by me.`)",The cool dude walked by me.,
console.log(typeof (null + 12.5)),number,
"let items = [""apple"", ""banana"", ""cherry""];console.log(items[1]);",banana,
"let triangle = [[],[],[]]; console.log(triangle);","[ [], [], [] ]",
"let a = Symbol(""a""), b = Symbol(""b""), c = Symbol(""c"");console.log(a+b+c)","Error: Command '['node', '-e', 'let a = Symbol(""a""), b = Symbol(""b""), c = Symbol(""c"");console.log(a+b+c)']' returned non-zero exit status 1.",
"const greet = ""Hello, World!"";console.log(greet);","Hello, World!",
'console.log(Math.abs(0-4))',,
[]+[]+{},,
let greeting = 'Hello World'; console.log(greeting);,Hello World,
"let speech = 'Hello World'
console.log(speech)",Hello World,
const alphabet = 'abcdefghijklmnopqrstuvwxyz'; console.log(alphabet[1]);,b,
let result = 2+3*4;console.log(result);,14,
'abcd'.includes('c')&&'abcd'.includes('d')&&'abcd'.includes('a')&&'abcd'.includes('b')&&console.log(true),true,
"let msg = 'Hello, my name is Carlo'; console.log(msg);","Hello, my name is Carlo",
let firstName = 'Eric';let lastName = 'Carter';console.log(firstName+''+lastName);,EricCarter,
let name = 'Carlo';console.log(name);console.log(name.length);,"Carlo
5",
console.log('(((((1+2))*(3+4)))'),(((((1+2))*(3+4))),
let name = 'Amelia'; console.log(name);,Amelia,
console.log(1==true||0==false);,true,
"[1,2,3].map(i=>i+1).forEach(console.log)","2 0 [ 2, 3, 4 ]
3 1 [ 2, 3, 4 ]
4 2 [ 2, 3, 4 ]",
"let fruit = ""Apple"";console.log(fruit, ""Banana"", ""Orange"");",Apple Banana Orange,
"let city =""Frisco"";console.log(city)",Frisco,
"console.log([0, 1, 2, 3, 4].join("",""))","0,1,2,3,4",
console.log(eval('console'));,"Object [console] {
  log: [Function: log],
  warn: [Function: warn],
  dir: [Function: dir],
  time: [Function: time],
  timeEnd: [Function: timeEnd],
  timeLog: [Function: timeLog],
  trace: [Function: trace],
  assert: [Function: assert],
  clear: [Function: clear],
  count: [Function: count],
  countReset: [Function: countReset],
  group: [Function: group],
  groupEnd: [Function: groupEnd],
  table: [Function: table],
  debug: [Function: debug],
  info: [Function: info],
  dirxml: [Function: dirxml],
  error: [Function: error],
  groupCollapsed: [Function: groupCollapsed],
  Console: [Function: Console],
  profile: [Function: profile],
  profileEnd: [Function: profileEnd],
  timeStamp: [Function: timeStamp],
  context: [Function: context],
  createTask: [Function: createTask]
}",
let n =1+1+1+1;console.log(n);,4,
"let array = [12, 34, 567, 1, 89];console.log(array);","[ 12, 34, 567, 1, 89 ]",
let bird = 'humming';console.log(`The sound the ${bird} makes`);,The sound the humming makes,
console.log(Array.from(Array(101).keys()).every(el=>el**2%3==1||el%2===0)),false,
console.log('Alonso Alejandro Rivera Picos');,Alonso Alejandro Rivera Picos,
console.log(55+22+(-139));,-62,
"let names = ['John', 'Doe', 'Bob', 'Jane'];
let favoriteFruit = 'banana';
console.log(names[0], names[1], names[2], names[3]);
console.log(favoriteFruit);","John Doe Bob Jane
banana",
Number.isInteger(10000999),,
"let hello = 'Hello, World!';console.log(hello);","Hello, World!",
"let msg = ""Hello, world!"";console.log(msg);","Hello, world!",
console.log('Hello' + ' ' + 'World' + '!'),Hello World!,
console.log('hello'+'world'+'!');,helloworld!,
"console.log(new Array(25).fill(""🎉"").join(""""));",ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸŽ‰,
"String.prototype.repeater = function(n) { return new Array(n + 1).join(this); };
console.log('Kai'.repeater(3));",KaiKaiKai,
"""let weekDay = new Date().getDay();console.log((weekDay == 0 || weekDay == 6) ? 'weekend' : 'weekday');""",,
"console.log([1, 2, 3] * ""a"")",NaN,
console.log(((!![]+[])[+!![]]+[+(+[]+[]+[][[]]+[+([]+[])])]+[!![]+!![]])[+!![]]+[!![]+!![]]),N2,
"let one = [1, 2, 3];
let two = one.slice();
two[2] = 7;
console.log(one + ',' + two);","1,2,3,1,2,7",
console.log(Math.PI);,3.141592653589793,
"console.log(typeof 1+""2""===typeof""12"")",false,
"let name = ""Carlo"";console.log(name.length)",5,
let arg = process.argv;console.log(arg);,[ 'C:\\Program Files\\nodejs\\node.exe' ],
"let a = [[1,2],[3,4]];console.log(a[0][1])",2,
console.log(1+2*3+4),11,
"let a = [1,2,3,4,5];console.log(a[Math.floor(Math.random()*a.length)]);",1,
"(function(x){console.log(x.join(','))})(['a','b','c','d','e','f','g','h','i'])","a,b,c,d,e,f,g,h,i",
let letters = 'ABCDEFGHIJKLMNOPQRSTUVWXYZ'; console.log(letters.charCodeAt(14));,79,
"let numbers = [1,2,3,4,5];console.log(numbers[3]);",4,
"let string1 = 'Hello'
let string2 = 'World'
console.log(string1+string2)",HelloWorld,
console.log((26 + 44).toString().repeat(2)[1]);,0,
"console.log(Math.min(73, 86, 90, 91, 100, 58))",58,
"[1, 2, 3].map(n => console.log(n * n))","1
4
9",
console.log(0-false+~~true+2*![]),1,
"let name = ""Alexa""; console.log(name.slice(0, 2).toUpperCase(), name.slice(2).toLowerCase());",AL exa,
[42+24]*2^2,,
let a = {};a.a = a;console.log(a.a.a.a.a.a.a.a.a),<ref *1> { a: [Circular *1] },
"[1, 2, 3, 4].map(n => n + 1).forEach(i => console.log(i));","2
3
4
5",
console.log(0+0===0);,true,
"[1,+1,'1',true,null,{},[],undefined,'hello',Symbol()].forEach(console.log)","1 0 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
1 1 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
1 2 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
true 3 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
null 4 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
{} 5 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
[] 6 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
undefined 7 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
hello 8 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]
Symbol() 9 [
  1,       1,
  '1',     true,
  null,    {},
  [],      undefined,
  'hello', Symbol()
]",
console.log('sdrawkcab eht no si eman elihw esreveR'),sdrawkcab eht no si eman elihw esreveR,
let a=4; let b=6; let s=a*b; console.log(s),24,
let name = 'Ada'; console.log(`Hello ${name}!`);,Hello Ada!,
"[""hi"",""bye"",""peace""].forEach(e=>console.log(e))","hi
bye
peace",
"let name = ""Carlo""; let sentence = ""My name is "" + name; console.log(sentence)",My name is Carlo,
"const name = ""Graciela""; console.log(name.length + name);",8Graciela,
console.log('My favorite name is Carlo'),My favorite name is Carlo,
"const x = {a:42,b:43};console.log(x.a+x.b);",85,
"const toggle = true ? console.log(""Heads"") : console.log(""Tails"");",Heads,
let a = '5'; let b = 9; console.log(a * b),45,
let str = 'true'console.log(typeof str),"Error: Command '['node', '-e', ""let str = 'true'console.log(typeof str)""]' returned non-zero exit status 1.",
let name = 'JaneDoe';console.log(`JaneDoe`);,JaneDoe,
let num = 5 * 10;console.log(num);,50,
"let num = 15 * 20 - 5
console.log(num)",295,
let num = 4 + 2; console.log(num);,6,
"let list = [0,1,2,3,4,5,6,7,8,9];console.log(list[0]+list[1]+list[2]+list[3]+list[4]+list[5]+list[6]+list[7]+list[8]+list[9])",45,
let example = 'This is a JavaScript program.';console.log(example),This is a JavaScript program.,
let name = 'Carlo';console.log(name);console.log(name);console.log(name);,"Carlo
Carlo
Carlo",
"JSON.stringify({name:'Carlo',age:30,cities:['NYC','SF','LA']})",,
