code,output
"let weather = ""sunny""; if (weather === ""sunny"") { console.log(""It's a bright day!""); } else { console.log(""It might rain today.""); };",It's a bright day!
"let age = 21; if (age >= 18) { console.log(""You are an adult.""); } else { console.log(""You are a minor.""); };",You are an adult.
"let temperature = 30; if (temperature > 25) { console.log(""It's hot outside!""); } else if (temperature < 15) { console.log(""It's cold outside!""); } else { console.log(""The weather is nice today.""); };",It's hot outside!
"let score = 85; if (score > 90) { console.log(""Excellent!""); } else if (score > 70) { console.log(""Good job!""); } else { console.log(""Try harder next time.""); };",Good job!
"let time = 20; if (time < 12) { console.log(""Good morning!""); } else if (time < 18) { console.log(""Good afternoon!""); } else { console.log(""Good evening!""); };",Good evening!
"let user = ""admin""; if (user === ""admin"") { console.log(""Access granted.""); } else { console.log(""Access denied.""); };",Access granted.
"let trafficLight = ""green""; if (trafficLight === ""red"") { console.log(""Stop""); } else if (trafficLight === ""yellow"") { console.log(""Caution""); } else { console.log(""Go""); };",Go
"let number = 15; if (number % 2 === 0) { console.log(""Even""); } else { console.log(""Odd""); };",Odd
"let grade = 88; if (grade >= 90) { console.log(""A""); } else if (grade >= 80) { console.log(""B""); } else if (grade >= 70) { console.log(""C""); } else { console.log(""F""); };",B
"let fruit = ""apple""; if (fruit === ""banana"") { console.log(""Bananas are yellow.""); } else if (fruit === ""apple"") { console.log(""Apples are delicious.""); } else { console.log(""Fruit is healthy.""); };",Apples are delicious.
"let mood = ""happy""; if (mood === ""happy"") { console.log(""Keep smiling!""); } else { console.log(""Cheer up!""); };",Keep smiling!
"let balance = 50; if (balance < 20) { console.log(""Your balance is low.""); } else { console.log(""Your balance is sufficient.""); };",Your balance is sufficient.
"let isOnline = true; if (isOnline) { console.log(""User is online.""); } else { console.log(""User is offline.""); };",User is online.
"let permission = ""read""; if (permission === ""write"") { console.log(""You can edit this file.""); } else { console.log(""You can only view this file.""); };",You can only view this file.
"let height = 170; if (height > 180) { console.log(""You are tall.""); } else if (height < 160) { console.log(""You are short.""); } else { console.log(""You have an average height.""); };",You have an average height.
"let speed = 70; if (speed > 60) { console.log(""You are speeding!""); } else { console.log(""You are within the speed limit.""); };",You are speeding!
"let day = ""Monday""; if (day === ""Saturday"" || day === ""Sunday"") { console.log(""It's the weekend!""); } else { console.log(""It's a weekday.""); };",It's a weekday.
"let age = 10; if (age < 13) { console.log(""You are a child.""); } else if (age < 20) { console.log(""You are a teenager.""); } else { console.log(""You are an adult.""); };",You are a child.
"let waterTemperature = 25; if (waterTemperature < 20) { console.log(""The water is too cold.""); } else if (waterTemperature > 30) { console.log(""The water is too hot.""); } else { console.log(""The water is just right.""); };",The water is just right.
"let food = ""pizza""; if (food === ""pizza"") { console.log(""Time for pizza!""); } else { console.log(""It's not pizza night.""); };",Time for pizza!
"let x = 5; let y = 10; if (x > y) { console.log(""x is greater than y""); } else { console.log(""x is not greater than y""); }",x is not greater than y
"let isRaining = true; if (isRaining) { console.log(""Take an umbrella!""); } else { console.log(""Enjoy the sunshine!""); }",Take an umbrella!
"const age = 20; if (age >= 18) { console.log(""You are an adult.""); } else { console.log(""You are a minor.""); }",You are an adult.
"let num = 7; if (num % 2 === 0) { console.log(""The number is even.""); } else { console.log(""The number is odd.""); }",The number is odd.
