code,output,obfuscate code,obfuscate output,obfuscation type,equal,implemented obfuscation
"const radius = 5;
const area = Math.PI * radius * radius;
console.log(`Area of circle: ${area}`);",Area of circle: 78.53981633974483,"""const radius=5;const area=Math.PI*radius*radius;console.log(`Area of circle: ${area}`);const foo='bar';const bar='foo';console.log(foo+bar);""
","Area of circle: 78.53981633974483
barfoo",Dead Code Obfuscation,FALSE,TRUE
"const kilometers = 10;
const miles = kilometers * 0.621371;
console.log(`10 kilometers is ${miles} miles`);",10 kilometers is 6.21371 miles,"""const kilometers=10;const foo='bar';const miles=kilometers*0.621371;const baz='qux';console.log(`10 kilometers is ${miles} miles`);""
",10 kilometers is 6.21371 miles,Dead Code Obfuscation,TRUE,TRUE
"const string1 = ""Hello"";
const string2 = ""World"";
const concatenated = string1 + "" "" + string2;
console.log(concatenated);",Hello World,"""const string1=\""Hello\"";const string2=\""World\"";const concatenated=string1+\"" \""+string2;const unused=2*3;console.log(concatenated);""
","Error: Command '['node', '-e', 'const string1=\\""Hello\\"";const string2=\\""World\\"";const concatenated=string1+\\"" \\""+string2;const unused=2*3;console.log(concatenated);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const str = ""JavaScript"";
const length = str.length;
console.log(`Length: ${length}`);",Length: 10,"""const str=\""JavaScript\"";const length=str.length;function dummy(){let a=1;a++;a=a*2;return a;}console.log(`Length: ${length}`);""
","Error: Command '['node', '-e', 'const str=\\""JavaScript\\"";const length=str.length;function dummy(){let a=1;a++;a=a*2;return a;}console.log(`Length: ${length}`);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const str = ""hello world"";
const upperStr = str.toUpperCase();
console.log(upperStr);",HELLO WORLD,"""const str=\""hello world\"";const upperStr=str.toUpperCase();console.log(upperStr);const foo=1;const bar=foo+2;const baz=bar*foo;console.log(baz);""
","Error: Command '['node', '-e', 'const str=\\""hello world\\"";const upperStr=str.toUpperCase();console.log(upperStr);const foo=1;const bar=foo+2;const baz=bar*foo;console.log(baz);']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,FALSE
"const number = 16;
const sqrt = Math.sqrt(number);
console.log(`Square root: ${sqrt}`);",Square root: 4,"""const number=16;const sqrt=Math.sqrt(number);console.log(`Square root: ${sqrt}`);const _0xabc123 = 10; const _0xdef456 = 20; const _0xghi789 = _0xabc123 + _0xdef456;  if (_0xghi789 > 30) { console.log('This is dead code'); } else {  console.log('This is also dead code'); }""
","Square root: 4
This is also dead code",Dead Code Obfuscation,FALSE,FALSE
"const person = { name: ""Alice"", age: 30 };
console.log(`Name: ${person.name}, Age: ${person.age}`);","Name: Alice, Age: 30","""const person={name:\""Alice\"",age:30};function foo(){let x=10;x++;x*=2;}foo();console.log(`Name: ${person.name}, Age: ${person.age}`);foo();""
","Error: Command '['node', '-e', 'const person={name:\\""Alice\\"",age:30};function foo(){let x=10;x++;x*=2;}foo();console.log(`Name: ${person.name}, Age: ${person.age}`);foo();']' returned non-zero exit status 1.",Dead Code Obfuscation,FALSE,TRUE
"const now = new Date();
console.log(`Current date and time: ${now}`);",Current date and time: Tue Jun 11 2024 19:51:38 GMT-0600 (Mountain Daylight Time),"""const now=new Date();Date.prototype.xyz=function(){return 'dummy'};console.log(`Current date and time: ${now}`);""
",Current date and time: Tue Jun 11 2024 19:50:30 GMT-0600 (Mountain Daylight Time),Dead Code Obfuscation,FALSE,TRUE
"const a = 5, b = 10, c = 8;
const max = Math.max(a, b, c);
console.log(`Maximum: ${max}`);",Maximum: 10,"""const _0x5a43=['log'];(function(_0x25a722,_0x2e8b64){const _0x3d593d=function(_0x4e5f40){while(--_0x4e5f40){_0x25a722['push'](_0x25a722['shift']());}};_0x3d593d(++_0x2e8b64);}(_0x5a43,0x16c));const _0x365e=function(_0x3968c7,_0x100f18){_0x3968c7=_0x3968c7-0x0;let _0x410851=_0x5a43[_0x3968c7];return _0x410851;};const a=0x5,b=0xa,c=0x8;const max=Math['max'](a,b,c);const _0x569388=0x12;console[_0x365e('0x0')](`Maximum: ${max}`);""
",Maximum: 10,Dead Code Obfuscation,TRUE,FALSE
"const kilometers = 10;
const miles = kilometers * 0.621371;
console.log(`10 kilometers is ${miles} miles`);",10 kilometers is 6.21371 miles,"""const kilometers=10;const a=10;const b=20;a+b;const miles=kilometers*0.621371;console.log(`10 kilometers is ${miles} miles`);""
",10 kilometers is 6.21371 miles,Dead Code Obfuscation,TRUE,TRUE
